DrawNumber,DrawDate,P1,P2,P3,P4,P5,P6,S1,S2
4457,2024-04-06T00:00:00,6,37,5,14,36,45,31,28
4459,2024-04-13T00:00:00,18,25,19,16,1,3,7,33
4461,2024-04-20T00:00:00,44,6,16,43,19,25,4,14
4463,2024-04-27T00:00:00,1,26,7,20,39,34,8,10
4465,2024-05-04T00:00:00,14,42,26,12,29,5,9,41
4467,2024-05-11T00:00:00,20,17,21,31,44,41,18,37
4469,2024-05-18T00:00:00,20,32,9,43,13,26,14,34
4471,2024-05-25T00:00:00,38,22,35,8,36,10,11,23
4473,2024-06-01T00:00:00,22,42,39,28,5,21,13,29
4475,2024-06-08T00:00:00,24,32,30,3,14,13,33,40
4477,2024-06-15T00:00:00,34,40,12,23,36,38,8,30
4479,2024-06-22T00:00:00,37,22,2,35,38,40,9,44
4481,2024-06-29T00:00:00,30,24,44,21,45,10,31,28
4483,2024-07-06T00:00:00,4,20,26,3,15,44,7,35
4485,2024-07-13T00:00:00,21,2,36,24,18,1,14,27
4487,2024-07-20T00:00:00,31,30,23,29,17,25,6,14
4489,2024-07-27T00:00:00,4,37,45,27,11,20,15,10
4491,2024-08-03T00:00:00,12,41,11,10,45,13,40,28
4493,2024-08-10T00:00:00,42,37,4,45,10,38,36,15
4495,2024-08-17T00:00:00,23,15,41,25,1,3,45,11
4497,2024-08-24T00:00:00,5,43,8,42,45,44,24,32
4499,2024-08-31T00:00:00,6,39,15,20,32,4,30,1
4501,2024-09-07T00:00:00,16,38,7,15,20,13,26,41
4503,2024-09-14T00:00:00,6,32,38,22,14,34,19,41
4505,2024-09-21T00:00:00,6,21,24,29,32,42,25,30
4507,2024-09-28T00:00:00,34,40,29,15,19,37,6,44
4509,2024-10-05T00:00:00,13,30,18,24,27,15,41,26
4511,2024-10-12T00:00:00,8,2,21,45,10,28,27,30
4513,2024-10-19T00:00:00,26,15,33,43,22,5,4,11
4515,2024-10-26T00:00:00,42,35,1,43,25,29,19,31
4517,2024-11-02T00:00:00,18,6,42,10,1,3,5,40
4519,2024-11-09T00:00:00,30,39,6,37,5,43,45,17
4521,2024-11-16T00:00:00,6,5,8,44,29,38,1,9
4523,2024-11-23T00:00:00,3,40,25,17,42,6,7,28
4525,2024-11-30T00:00:00,16,30,41,8,39,13,38,28
4527,2024-12-07T00:00:00,1,16,11,13,35,7,5,14
4529,2024-12-14T00:00:00,30,35,6,7,21,11,29,13
4531,2024-12-21T00:00:00,44,27,38,18,9,25,23,7
4533,2024-12-28T00:00:00,26,41,4,12,29,40,34,31
4535,2025-01-04T00:00:00,33,19,8,23,10,31,42,13
4537,2025-01-11T00:00:00,6,19,29,18,8,38,15,45
4539,2025-01-18T00:00:00,19,15,45,7,11,34,32,42
4541,2025-01-25T00:00:00,12,8,34,15,28,21,3,44
4543,2025-02-01T00:00:00,12,8,18,7,41,1,16,32
4545,2025-02-08T00:00:00,42,6,15,35,40,25,38,20
4547,2025-02-15T00:00:00,18,41,8,19,31,43,9,11
4549,2025-02-22T00:00:00,5,39,26,2,28,31,7,8
4551,2025-03-01T00:00:00,13,11,37,12,3,6,44,2
4553,2025-03-08T00:00:00,28,18,38,2,16,29,25,4
4555,2025-03-15T00:00:00,3,27,30,15,16,13,19,33
4557,2025-03-22T00:00:00,16,11,42,34,29,45,14,18
4559,2025-03-29T00:00:00,36,3,17,1,21,41,24,30
4561,2025-04-05T00:00:00,3,42,43,10,27,23,6,18
4563,2025-04-12T00:00:00,45,3,22,17,13,6,29,31
4565,2025-04-19T00:00:00,28,10,44,21,19,14,33,23
4567,2025-04-26T00:00:00,38,42,32,1,21,7,24,13
4569,2025-05-03T00:00:00,30,29,16,34,43,27,40,2
4571,2025-05-10T00:00:00,1,35,18,25,45,38,4,16
4573,2025-05-17T00:00:00,31,40,44,37,9,19,5,11
4575,2025-05-24T00:00:00,13,36,5,37,33,35,18,10
4577,2025-05-31T00:00:00,5,45,23,27,7,9,36,13
4579,2025-06-07T00:00:00,30,26,11,22,36,13,24,45
4581,2025-06-14T00:00:00,1,28,19,6,17,10,35,14
4583,2025-06-21T00:00:00,6,24,10,42,1,30,18,16
4585,2025-06-28T00:00:00,39,41,44,32,21,34,22,16
4587,2025-07-05T00:00:00,13,6,14,19,4,17,11,1
4589,2025-07-12T00:00:00,36,9,37,35,23,29,20,31
4591,2025-07-19T00:00:00,7,42,36,17,15,22,34,9
4593,2025-07-26T00:00:00,17,23,40,42,44,2,27,39
4595,2025-08-02T00:00:00,24,40,43,21,45,1,16,9
4597,2025-08-09T00:00:00,45,4,10,40,41,14,3,6
4599,2025-08-16T00:00:00,23,6,38,1,15,18,32,24
4601,2025-08-23T00:00:00,44,28,10,45,2,33,8,26
4603,2025-08-30T00:00:00,10,28,5,4,9,36,2,14
4605,2025-09-06T00:00:00,43,6,21,10,42,16,23,36
4607,2025-09-13T00:00:00,31,13,18,15,2,40,36,26
4609,2025-09-20T00:00:00,27,10,5,38,25,26,34,15
4611,2025-09-27T00:00:00,25,16,37,4,14,29,10,6
4613,2025-10-04T00:00:00,42,3,32,10,2,16,35,11
4615,2025-10-11T00:00:00,43,21,37,33,32,9,17,30
4617,2025-10-18T00:00:00,18,38,32,19,7,10,43,28
4619,2025-10-25T00:00:00,14,13,41,29,23,40,17,1
4621,2025-11-01T00:00:00,42,31,21,28,17,13,36,15
4623,2025-11-08T00:00:00,28,13,1,41,14,16,39,34
4625,2025-11-15T00:00:00,36,19,33,41,39,1,25,20
4627,2025-11-22T00:00:00,7,31,15,39,42,12,5,8
4629,2025-11-29T00:00:00,22,10,17,5,44,36,3,11
4631,2025-12-06T00:00:00,17,42,5,10,33,45,31,44
4633,2025-12-13T00:00:00,28,20,35,17,32,6,41,25
4635,2025-12-20T00:00:00,8,32,31,19,43,41,14,6
4637,2025-12-27T00:00:00,26,20,40,3,5,28,22,42
