DrawNumber,DrawDate,P1,P2,P3,P4,P5,P6,S1,S2
3791,2017-11-18T00:00:00,40,26,42,28,19,6,36,33
3793,2017-11-25T00:00:00,44,36,4,18,6,31,1,10
3795,2017-12-02T00:00:00,25,44,14,8,16,23,2,9
3797,2017-12-09T00:00:00,28,30,17,14,34,36,44,45
3799,2017-12-16T00:00:00,5,1,39,45,28,26,12,44
3801,2017-12-23T00:00:00,21,11,8,23,13,34,42,24
3803,2017-12-30T00:00:00,6,30,9,35,27,37,4,14
3805,2018-01-06T00:00:00,32,31,44,35,3,12,14,13
3807,2018-01-13T00:00:00,45,36,16,19,6,1,11,5
3809,2018-01-20T00:00:00,14,9,2,5,31,34,7,13
3811,2018-01-27T00:00:00,4,7,11,32,40,1,26,29
3813,2018-02-03T00:00:00,23,11,24,13,27,12,31,22
3815,2018-02-10T00:00:00,7,27,23,2,16,44,25,28
3817,2018-02-17T00:00:00,30,13,3,8,31,35,25,17
3819,2018-02-24T00:00:00,5,19,1,30,14,15,20,28
3821,2018-03-03T00:00:00,45,21,2,36,29,35,40,44
3823,2018-03-10T00:00:00,2,4,44,34,31,22,25,27
3825,2018-03-17T00:00:00,35,33,41,26,38,32,45,27
3827,2018-03-24T00:00:00,30,19,10,39,33,23,17,34
3829,2018-03-31T00:00:00,15,44,27,8,23,43,11,35
3831,2018-04-07T00:00:00,7,17,8,35,6,23,29,30
3833,2018-04-14T00:00:00,38,17,7,18,9,10,20,35
3835,2018-04-21T00:00:00,12,17,42,31,44,11,19,3
3837,2018-04-28T00:00:00,13,35,43,33,38,29,41,15
3839,2018-05-05T00:00:00,34,28,22,42,45,10,11,3
3841,2018-05-12T00:00:00,12,17,38,31,6,14,34,32
3843,2018-05-19T00:00:00,42,33,39,6,21,9,19,40
3845,2018-05-26T00:00:00,10,29,40,21,25,38,22,7
3847,2018-06-02T00:00:00,19,24,17,7,14,37,2,23
3849,2018-06-09T00:00:00,7,26,25,10,22,36,30,43
3851,2018-06-16T00:00:00,26,8,22,45,2,12,1,38
3853,2018-06-23T00:00:00,10,35,9,18,41,31,26,16
3855,2018-06-30T00:00:00,25,14,1,40,26,20,24,3
3857,2018-07-07T00:00:00,29,1,6,43,23,18,3,35
3859,2018-07-14T00:00:00,45,40,6,32,12,11,10,20
3861,2018-07-21T00:00:00,4,15,2,16,24,14,33,18
3863,2018-07-28T00:00:00,37,21,29,27,40,31,6,11
3865,2018-08-04T00:00:00,25,38,24,35,12,14,36,39
3867,2018-08-11T00:00:00,1,23,8,15,44,20,11,18
3869,2018-08-18T00:00:00,37,17,19,38,6,26,2,10
3871,2018-08-25T00:00:00,29,18,5,31,35,15,9,36
3873,2018-09-01T00:00:00,36,16,14,10,43,5,19,18
3875,2018-09-08T00:00:00,43,24,25,19,22,42,4,14
3877,2018-09-15T00:00:00,3,7,15,44,45,1,26,34
3879,2018-09-22T00:00:00,32,29,9,44,21,26,2,28
3881,2018-09-29T00:00:00,10,16,9,25,13,2,19,17
3883,2018-10-06T00:00:00,7,34,1,22,40,2,15,26
3885,2018-10-13T00:00:00,10,34,6,40,37,3,15,18
3887,2018-10-20T00:00:00,38,14,15,42,5,45,8,22
3889,2018-10-27T00:00:00,13,17,32,9,37,16,6,14
3891,2018-11-03T00:00:00,14,5,36,12,3,35,15,42
3893,2018-11-10T00:00:00,23,38,21,1,44,22,20,17
3895,2018-11-17T00:00:00,26,19,31,30,6,18,25,16
3897,2018-11-24T00:00:00,10,20,24,7,29,37,32,42
3899,2018-12-01T00:00:00,24,25,38,27,31,5,20,18
3901,2018-12-08T00:00:00,23,6,2,25,43,26,9,7
3903,2018-12-15T00:00:00,28,33,35,32,39,23,5,42
3905,2018-12-22T00:00:00,5,14,41,29,43,9,37,15
3907,2018-12-29T00:00:00,9,33,39,30,2,17,22,41
3909,2019-01-05T00:00:00,18,3,24,20,34,26,42,32
3911,2019-01-12T00:00:00,45,5,15,11,23,35,43,17
3913,2019-01-19T00:00:00,26,11,45,8,10,15,37,28
3915,2019-01-26T00:00:00,36,18,8,19,38,42,39,4
3917,2019-02-02T00:00:00,24,12,21,5,1,45,15,2
3919,2019-02-09T00:00:00,9,17,13,11,16,21,33,38
3921,2019-02-16T00:00:00,27,18,19,38,43,26,15,22
3923,2019-02-23T00:00:00,37,13,19,21,25,20,33,27
3925,2019-03-02T00:00:00,43,38,40,39,10,5,24,4
3927,2019-03-09T00:00:00,17,21,43,16,27,29,40,37
3929,2019-03-16T00:00:00,42,15,31,12,1,8,32,36
3931,2019-03-23T00:00:00,29,9,32,33,37,39,27,11
3933,2019-03-30T00:00:00,8,31,33,26,27,5,11,22
3935,2019-04-06T00:00:00,4,12,39,10,38,8,13,6
3937,2019-04-13T00:00:00,16,21,18,25,22,19,41,4
3939,2019-04-20T00:00:00,36,20,9,14,18,16,7,19
